,lecturer_topic,learning_program_topic,facility_topic,orther_topic
0,"nói tiếng anh lưu loát .
","tính điểm thi đua các nhóm .
","em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .
","trong trường macbook thầy số hai thì không có máy nào số một .
"
1,"giáo viên rất vui tính .
","sinh viên không tiếp thu kịp cũng như không hiểu gì .
","phòng học thoáng mát , trang thiết bị đầy đủ .
","ổn .
"
2,"cô max có tâm .
","còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .
","thiết bị phòng học như quạt máy cần phải đầu tư thêm .
","rất thực tế không dài dòng .
"
3,"giảng bài thu hút , dí dỏm .
","giữa lý thuyết từ vựng với trò chơi để dễ tiếp thu .
","hiện nay đang bước vào đợt nắng nóng , nhưng trong môt số phòng học thì doubledot quạt rất yếu gây ra nóng nực , mệt mỏi cho sinh viên và giảng viên .
","học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .
"
4,"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .
","môn học này giúp chúng em hiểu ra những vấn đề cơ bản .
","máy chiếu nhiều lúc chẳng muốn để nhìn , chất lượng kém , ánh sáng làm mờ .
","sự nhiệt tình tận tâm .
"
5,"thầy dạy nhiệt tình và tâm huyết .
","giáo trình chưa có hợp lý .
","có nhiều thầy cô đến lớp không đúng giờ .
","đôi lúc sinh viên theo không kịp .
"
6,"thầy nhiệt tình giảng lại cho học sinh .
","cô vui tính , học không áp lực .
","cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ .
","rất hài lòng nên không có gì không hài lòng .
"
7,"có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .
","phần lớn chỉ là lý thuyết và bài tập .
","nên nâng cao cơ sở vật chất của trường .
","các buổi ngoại khóa nên được mở .
"
8,"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .
","cô nhiệt tình , giảng bài hiệu quả .
","ít có thời gian thực hành bằng thiết bị thật , mong nhà trường tạo điều kiện để sinh viên được thực hành nhiều hơn .
","tâm lý .
"
9,"giảng viên nhiệt tình trong công tác giảng dạy .
","không biết được chính xác bao giờ học thật để đi học .
","phòng học còn khá ồn do công trình xây dựng .
","em mong là có phần khảo sát môn học ở giữa kỳ chứ cuối kỳ thì môn học đã qua đi rồi .
"
10,"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .
","như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .
","không riêng gì em mà tất cả các bạn trong lớp cũng đều mong trường sẽ nhanh chóng trang bị hệ thống máy mới cho môn này ít nhất là ram 4 gb , cpu 2 lõi tốc độ 3dot0 ghz .
","môn này em không đươc học với cô wzjwz160 .
"
11,"thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .
","thêm hoạt động của sinh viên , giúp sinh viên chủ động hơn .
","máy chiếu mờ .
","kỹ những chương cuối .
"
12,"thầy rất tận tình và giúp đỡ sinh viên rất nhiều .
","tính thực tế cũng cao so với việc thi lý thuyết lấy điểm .
","nên cải thiện thiết bị để giáo viên truyền đạt được dễ ràng hơn .
","cả cuộc sống sau này lẫn trong môn học .
"
13,"giảng viên giải thích kỹ và chi tiết .
","thời lượng kiến thức trong một buổi học quá dài .
","phòng máy , thết bị cũ .
","đã có làm đơn với phòng đào tạo .
"
14,"thầy dạy rất chi tiết , lý thuyết đầy đủ .
","slide thầy chiếu lên màn chiếu doubledot dày đặc chữ , nhìn không rõ ràng .
","phòng giảng đường quá nóng , bảng ở xa nên không nhìn thấy chữ ở trên bảng .
","đảm bảo chất lượng tốt .
"
15,"cung cấp kiến thức bổ ích .
","thời gian các bạn lên làm bài tập thì thầy nên giảng cho các sinh viên khác chưa làm được .
","cần đổi máy chiếu .
","em không hiểu .
"
16,"bắt đầu buổi học đúng giờ .
","nội dung của môn học nên được cải tiến và cập nhật hơn nữa để bắt kịp với xu hướng hiện nay của thế giới .
","phòng máy nên được quan tâm vì nhiều máy hỏng làm nhiều bạn không có laptop khó thực hành .
","cám ơn cô đã dạy lớp em .
"
17,"giảng dạy dễ hiểu , tận tâm !
","nhiều bài tập , sát với chương trình học và thi .
","phòng thực hành nên trang bị máy mới , thật sự khó chịu khi đang thực hành mà máy treo , máy hư .
","đó là ý kiến cá nhân của em về giảng viên môn anh văn 2 này .
"
18,"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .
","bài giảng hay và dễ hiểu .
","cần cải thiện chất lượng các trang bị trong phòng học vì hay có trường hợp nhiễu tín hiệu âm thanh giữa các phòng .
","không ý kiến .
"
19,"nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .
","nội dung môn học không đáp ứng được mục tiêu của môn học .
","đề nghị cải thiện chất lượng phòng thí nghiệm , vì phòng thí nghiệm không có đầy đủ trang thiết bị cho việc thực hành , ví dụ như doubledot rất nhiều máy không có chuột , nhiều máy hỏng không bật được .
","đừng nghĩ mọi thứ tự em đã biết trước hết colonsmile .
"
20,"giảng viên dạy sôi nổi .
","không cần phải mở lớp thực hành với môn học này .
","máy chiếu rõ hơn .
","không hiểu học ra để áp dụng vào cái gì .
"
21,"chưa giỏi chuyên môn cho lắm .
","thêm nhiều bài tập thiết thực hơn .
","phòng học nên được trang bị lại doubledot hệ thống máy chiếu , đèn , quạt .
","tất cả .
"
22,"cách mà cô tiếp cận với sinh viên .
","ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .
","chỉ có cơ sở vật chất trường còn hạn chế .
","rất không hài lòng .
"
23,"trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .
","bài thuyết trình của các sinh viên .
","nên cài các phiên bản visual studio mới hơn .
","vì thế không thể tốt toàn vẹn được .
"
24,"giảng viên tận tâm , gần gũi với học sinh .
","đề cương thực hành chi tiết .
","nhà trường cần cải tiến thiết bị trong phòng học vì máy chiếu quá mờ .
","dứt khoát .
"
25,"thầy dạy rất nhiệt tình và giảng kỹ bài không cần cải thiện gì cả .
","chất lượng kiểm tra các môn học chưa đánh giá được chất lượng học sinh hiểu bài cho lắm .
","chất lượng trang thiết bị hỗ trợ cho môn học chưa tốt , cần được thay thế đổi mới .
","trời nóng .
"
26,"thầy rất nhiệt tình thân thiện và vui tính cách giảng dạy rất dễ hiểu .
","chứ không chỉ cách viết một đoạn code mới học từ lý thuyết .
","máy tính thực hành quá tệ , cần được trang bị mới hơn .
","sáng tạo trong giảng dạy .
"
27,"không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .
","em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .
","phòng thực hành về java nhưng máy tính lại không cài netbean , em mong trong những học kỳ sau trường sẽ khắc phục vấn đề này .
","nắng vào buổi sáng ở gần cửa sổ .
"
28,"mong thầy xem xét lại việc nộp bài !
","chia nhỏ điểm ra , mỗi buổi 1 bài lab , nộp bài lab để lấy điểm .
","nâng cấp hệ thống máy tình phòng thực hành .
","em mong giờ lên lớp có những niềm vui hơn .
"
29,"cô wzjwz234 , dạy rất nhiệt tính , tận tâm tận lực , giải thích từng câu code giúp học sinh hiểu rõ vấn đề , rất thích cô dạy môn hướng đối tượng này .
","chương trình giảng dạy cần được phân bố hợp lý và được cập nhật .
","để sinh viên thực hành nhiều hơn .
","chúng em đã nghỉ khoảng 4 tuần như thế .
"
30,"cung cấp bài tập đa dạng .
","có ba buổi học , chỉ những người tham gia buổi đầu mới biết các buổi tiếp theo .
","phòng máy thực hành còn yếu , máy chạy chậm hay đơ , thỉnh thoảng còn hư , mạng để hỗ trợ ta cứu trong phòng máy còn chậm .
","em là sinh viên khó khăn , phải vừa làm vừa học , nên thời gian trống không được linh hoạt .
"
31,"hay gõ micro vào bảng hoặc bàn .
","bài tập thầy giảng rất hay .
","nâng cấp máy chiếu vì máy chiếu đã mờ !
","làm sao có thể tìm thấy điểm không hài lòng được .
"
32,"tốc độ dạy của giảng viên nhanh , nên có một số nội dung không cung cấp đầy đủ kiến thức .
","sử dụng quá nhiều tiếng anh để giảng bài trong khi sinh viên ngồi dưới chẳng hiểu là bao nhiêu .
","phòng học cần có rèm để máy chiếu được rõ ràng .
","học được nhiều điều mới không nằm trong sách vở .
"
33,"cô dạy rất tốt và nhiệt tình .
","nên tạo thêm cảm hứng khi học như doubledot học qua bài hát , hình ảnh .
","nhờ nhà trường cấp thêm quạt .
","đó là điều mà em mong muốn mỗi khi đến lớp .
"
34,"thầy nhiệt tình trả lời thắc mắc của sinh viên .
","em nghĩ nên dạy thực hành và nộp bài tập thực hành cách lịch học lý thuyết thêm một tuần nữa so với học kỳ này .
","nên trang bị thêm rèm che cửa sổ vì doubledot khi mở máy chiếu thì mấy bạn ở dưới cuối lớp xem không được rõ .
","không có , chỉ là do em lười học nên không tiếp thu được .
"
35,"khi nghỉ học , cần thông báo kịp thời trên web của khoa wzjwz148 .
","nội dung thi liên quan quá ít đến khoảng thời gian học trong lớp .
","hệ thống loa không rõ .
","học sinh chưa thật sự đạt được kiến thức đầy đủ .
"
36,"thầy chỉ giao bài tập trên courses .
","bài tập phong phú và đa dạng giúp sinh viên có thể nắm được kiến thức .
","lớp học chỉ hơi nóng .
","sự nhiệt tình và tâm huyết .
"
37,"dạy dễ hiểu , vui tính .
","cần bài tập có lời giải .
","phòng học có máy chiếu quá mờ , đôi khi trời nắng không thể nhìn rõ .
","em xin cám ơn !
"
38,"sử dụng thời gian không hiệu quả , đi quá muộn và về quá trễ ( 8h30 vào lớp 12h về ) .
","theo em môn này nên chuyển sang hình thức đồ án cuối kỳ thay vì thi cuối kỳ thì sẽ hợp lý và hiệu quả hơn .
","đề thi của thầy khá hay khi khai thác thực tiễn .
","cầu kỳ .
"
39,"ấn tượng nhất doubledot dạy không cần máy chiếu hay laptop , nhưng lượng bài giảng có thể nói là "" khủng "" , nhìn thầy ghi bài giảng lên bảng mà bất ngờ .
","nên cụ thể hóa trong ví dụ .
","sẽ có thông báo đi học cụ thể trên phòng máy để sửa chữa bài tập cho những ai chưa hiểu rõ cách làm .
","hy vọng môn nào cũng như môn này thì quá tốt .
"
40,"giảng viên dạy rất nhiệt tình , dễ hiểu , vui tính .
","nên có các bài tập bắt buộc doubledot cá nhân doubledot nắm sát được tiến độ và khả năng của từng sinh viên nhóm doubledot đánh giá và hình thành kỹ năng làm việc nhóm đôi khi do không bắt buộc các bài tập nhóm và các bài tập thuyết trình mà các bạn sinh viên thụ động !
","hy vọng nhà trường nâng cấp các máy cũ trong phòng máy thực hành để sinh viên bọn em có đủ số máy để học tập .
","lớp quá đông .
"
41,"đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .
","tại sao trong quá trình học không có một buổi tham quan một công ty đang làm về oracal hiệu quả sẽ cao hơn .
","đề nghị nên lắp đặt thêm màn che ở các cửa sổ phòng học , để có thể xem rõ máy chiếu hơn .
","do khi ra trường các công ty chủ yếu đánh mạnh phần thực hành và vận dụng .
"
42,"thầy dạy chi tiết , giảng giải kỹ .
","thực hành đi trước lý thuyết nên gây ra một số khó khăn cho sinh viên .
","phòng máy cũ , nhưng nhìn chung thì không có ảnh hưởng gì vì thầy dạy rất nhiệt tình .
","tình huống hay .
"
43,"nhiệt tình tốt giúp sinh viên năng động .
","đề thi quá dài .
","phòng còn thiếu chất lượng , nhất là máy chiếu , máy chiếu gì mà mờ vàng không , làm giảm chất lượng slide trình chiếu , ảnh hưởng tới khả năng tiếp thu khi thầy wzjwz33 mô phỏng lý thuyết bằng hình ảnh .
","vì giữa kỳ do em bỏ lở .
"
