lecturer_topic,learning_program_topic,facility_topic,orther_topic
"[{'label': 'POSITIVE', 'score': 0.9847191572189331}]","[{'label': 'NEUTRAL', 'score': 0.9567136764526367}]","[{'label': 'NEGATIVE', 'score': 0.9961305856704712}]","[{'label': 'NEGATIVE', 'score': 0.9904244542121887}]"
"[{'label': 'POSITIVE', 'score': 0.9984127283096313}]","[{'label': 'NEGATIVE', 'score': 0.9974972605705261}]","[{'label': 'POSITIVE', 'score': 0.9961729645729065}]","[{'label': 'POSITIVE', 'score': 0.8330200910568237}]"
"[{'label': 'POSITIVE', 'score': 0.998166561126709}]","[{'label': 'NEGATIVE', 'score': 0.997082531452179}]","[{'label': 'NEGATIVE', 'score': 0.9976939558982849}]","[{'label': 'POSITIVE', 'score': 0.9964886903762817}]"
"[{'label': 'NEGATIVE', 'score': 0.9870160818099976}]","[{'label': 'POSITIVE', 'score': 0.804012656211853}]","[{'label': 'NEGATIVE', 'score': 0.9975160360336304}]","[{'label': 'NEGATIVE', 'score': 0.9971229434013367}]"
"[{'label': 'NEGATIVE', 'score': 0.996396005153656}]","[{'label': 'POSITIVE', 'score': 0.8567454218864441}]","[{'label': 'NEGATIVE', 'score': 0.99760901927948}]","[{'label': 'POSITIVE', 'score': 0.9987816214561462}]"
"[{'label': 'POSITIVE', 'score': 0.9987881779670715}]","[{'label': 'NEGATIVE', 'score': 0.9975639581680298}]","[{'label': 'NEGATIVE', 'score': 0.9973713159561157}]","[{'label': 'NEGATIVE', 'score': 0.9975016713142395}]"
"[{'label': 'POSITIVE', 'score': 0.998389482498169}]","[{'label': 'POSITIVE', 'score': 0.9980542659759521}]","[{'label': 'NEGATIVE', 'score': 0.997907280921936}]","[{'label': 'POSITIVE', 'score': 0.9818528294563293}]"
"[{'label': 'NEGATIVE', 'score': 0.9975542426109314}]","[{'label': 'NEGATIVE', 'score': 0.9977005124092102}]","[{'label': 'NEGATIVE', 'score': 0.9974820017814636}]","[{'label': 'NEGATIVE', 'score': 0.9973026514053345}]"
"[{'label': 'POSITIVE', 'score': 0.998460054397583}]","[{'label': 'POSITIVE', 'score': 0.9986422657966614}]","[{'label': 'NEGATIVE', 'score': 0.9975526928901672}]","[{'label': 'POSITIVE', 'score': 0.9803762435913086}]"
"[{'label': 'POSITIVE', 'score': 0.9985356330871582}]","[{'label': 'NEGATIVE', 'score': 0.9949489831924438}]","[{'label': 'NEGATIVE', 'score': 0.9974269270896912}]","[{'label': 'NEGATIVE', 'score': 0.9979298114776611}]"
"[{'label': 'POSITIVE', 'score': 0.9988208413124084}]","[{'label': 'NEGATIVE', 'score': 0.9891819357872009}]","[{'label': 'NEGATIVE', 'score': 0.9964470267295837}]","[{'label': 'NEUTRAL', 'score': 0.8741868734359741}]"
"[{'label': 'POSITIVE', 'score': 0.9988081455230713}]","[{'label': 'NEGATIVE', 'score': 0.6002083420753479}]","[{'label': 'NEGATIVE', 'score': 0.9951279163360596}]","[{'label': 'POSITIVE', 'score': 0.9296593070030212}]"
"[{'label': 'POSITIVE', 'score': 0.9984840750694275}]","[{'label': 'NEUTRAL', 'score': 0.9471946954727173}]","[{'label': 'NEGATIVE', 'score': 0.9976650476455688}]","[{'label': 'NEUTRAL', 'score': 0.9743741154670715}]"
"[{'label': 'POSITIVE', 'score': 0.9978014826774597}]","[{'label': 'NEGATIVE', 'score': 0.9971597194671631}]","[{'label': 'NEGATIVE', 'score': 0.9966482520103455}]","[{'label': 'NEUTRAL', 'score': 0.6897191405296326}]"
