,lecturer_topic,learning_program_topic,facility_topic,orther_topic
0,"nói tiếng anh lưu loát .
","tính điểm thi đua các nhóm .
","em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .
","trong trường macbook thầy số hai thì không có máy nào số một .
"
1,"giáo viên rất vui tính .
","sinh viên không tiếp thu kịp cũng như không hiểu gì .
","phòng học thoáng mát , trang thiết bị đầy đủ .
","ổn .
"
2,"cô max có tâm .
","còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .
","thiết bị phòng học như quạt máy cần phải đầu tư thêm .
","rất thực tế không dài dòng .
"
3,"giảng bài thu hút , dí dỏm .
","giữa lý thuyết từ vựng với trò chơi để dễ tiếp thu .
","hiện nay đang bước vào đợt nắng nóng , nhưng trong môt số phòng học thì doubledot quạt rất yếu gây ra nóng nực , mệt mỏi cho sinh viên và giảng viên .
","học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .
"
4,"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .
","môn học này giúp chúng em hiểu ra những vấn đề cơ bản .
","máy chiếu nhiều lúc chẳng muốn để nhìn , chất lượng kém , ánh sáng làm mờ .
","sự nhiệt tình tận tâm .
"
5,"thầy dạy nhiệt tình và tâm huyết .
","giáo trình chưa có hợp lý .
","có nhiều thầy cô đến lớp không đúng giờ .
","đôi lúc sinh viên theo không kịp .
"
6,"thầy nhiệt tình giảng lại cho học sinh .
","cô vui tính , học không áp lực .
","cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ .
","rất hài lòng nên không có gì không hài lòng .
"
7,"có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .
","phần lớn chỉ là lý thuyết và bài tập .
","nên nâng cao cơ sở vật chất của trường .
","các buổi ngoại khóa nên được mở .
"
8,"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .
","cô nhiệt tình , giảng bài hiệu quả .
","ít có thời gian thực hành bằng thiết bị thật , mong nhà trường tạo điều kiện để sinh viên được thực hành nhiều hơn .
","tâm lý .
"
9,"giảng viên nhiệt tình trong công tác giảng dạy .
","không biết được chính xác bao giờ học thật để đi học .
","phòng học còn khá ồn do công trình xây dựng .
","em mong là có phần khảo sát môn học ở giữa kỳ chứ cuối kỳ thì môn học đã qua đi rồi .
"
10,"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .
","như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .
","không riêng gì em mà tất cả các bạn trong lớp cũng đều mong trường sẽ nhanh chóng trang bị hệ thống máy mới cho môn này ít nhất là ram 4 gb , cpu 2 lõi tốc độ 3dot0 ghz .
","môn này em không đươc học với cô wzjwz160 .
"
